date,Value,isPartial,Region,topic
2017-06-25,63,False,Nordjylland,Movies
2017-07-02,60,False,Nordjylland,Movies
2017-07-09,78,False,Nordjylland,Movies
2017-07-16,76,False,Nordjylland,Movies
2017-07-23,70,False,Nordjylland,Movies
2017-07-30,75,False,Nordjylland,Movies
2017-08-06,73,False,Nordjylland,Movies
2017-08-13,58,False,Nordjylland,Movies
2017-08-20,49,False,Nordjylland,Movies
2017-08-27,43,False,Nordjylland,Movies
2017-09-03,64,False,Nordjylland,Movies
2017-09-10,51,False,Nordjylland,Movies
2017-09-17,73,False,Nordjylland,Movies
2017-09-24,65,False,Nordjylland,Movies
2017-10-01,63,False,Nordjylland,Movies
2017-10-08,70,False,Nordjylland,Movies
2017-10-15,89,False,Nordjylland,Movies
2017-10-22,71,False,Nordjylland,Movies
2017-10-29,66,False,Nordjylland,Movies
2017-11-05,87,False,Nordjylland,Movies
2017-11-12,74,False,Nordjylland,Movies
2017-11-19,70,False,Nordjylland,Movies
2017-11-26,58,False,Nordjylland,Movies
2017-12-03,59,False,Nordjylland,Movies
2017-12-10,74,False,Nordjylland,Movies
2017-12-17,77,False,Nordjylland,Movies
2017-12-24,100,False,Nordjylland,Movies
2017-12-31,64,False,Nordjylland,Movies
2018-01-07,58,False,Nordjylland,Movies
2018-01-14,63,False,Nordjylland,Movies
2018-01-21,66,False,Nordjylland,Movies
2018-01-28,69,False,Nordjylland,Movies
2018-02-04,78,False,Nordjylland,Movies
2018-02-11,51,False,Nordjylland,Movies
2018-02-18,75,False,Nordjylland,Movies
2018-02-25,68,False,Nordjylland,Movies
2018-03-04,63,False,Nordjylland,Movies
2018-03-11,64,False,Nordjylland,Movies
2018-03-18,67,False,Nordjylland,Movies
2018-03-25,78,False,Nordjylland,Movies
2018-04-01,63,False,Nordjylland,Movies
2018-04-08,45,False,Nordjylland,Movies
2018-04-15,62,False,Nordjylland,Movies
2018-04-22,54,False,Nordjylland,Movies
2018-04-29,58,False,Nordjylland,Movies
2018-05-06,67,False,Nordjylland,Movies
2018-05-13,67,False,Nordjylland,Movies
2018-05-20,61,False,Nordjylland,Movies
2018-05-27,57,False,Nordjylland,Movies
2018-06-03,68,False,Nordjylland,Movies
2018-06-10,60,False,Nordjylland,Movies
2018-06-17,66,False,Nordjylland,Movies
2018-06-24,57,False,Nordjylland,Movies
2018-07-01,53,False,Nordjylland,Movies
2018-07-08,62,False,Nordjylland,Movies
2018-07-15,75,False,Nordjylland,Movies
2018-07-22,62,False,Nordjylland,Movies
2018-07-29,65,False,Nordjylland,Movies
2018-08-05,76,False,Nordjylland,Movies
2018-08-12,65,False,Nordjylland,Movies
2018-08-19,66,False,Nordjylland,Movies
2018-08-26,52,False,Nordjylland,Movies
2018-09-02,60,False,Nordjylland,Movies
2018-09-09,45,False,Nordjylland,Movies
2018-09-16,64,False,Nordjylland,Movies
2018-09-23,70,False,Nordjylland,Movies
2018-09-30,64,False,Nordjylland,Movies
2018-10-07,67,False,Nordjylland,Movies
2018-10-14,66,False,Nordjylland,Movies
2018-10-21,61,False,Nordjylland,Movies
2018-10-28,70,False,Nordjylland,Movies
2018-11-04,59,False,Nordjylland,Movies
2018-11-11,63,False,Nordjylland,Movies
2018-11-18,70,False,Nordjylland,Movies
2018-11-25,60,False,Nordjylland,Movies
2018-12-02,64,False,Nordjylland,Movies
2018-12-09,72,False,Nordjylland,Movies
2018-12-16,61,False,Nordjylland,Movies
2018-12-23,95,False,Nordjylland,Movies
2018-12-30,78,False,Nordjylland,Movies
2019-01-06,68,False,Nordjylland,Movies
2019-01-13,56,False,Nordjylland,Movies
2019-01-20,71,False,Nordjylland,Movies
2019-01-27,67,False,Nordjylland,Movies
2019-02-03,66,False,Nordjylland,Movies
2019-02-10,70,False,Nordjylland,Movies
2019-02-17,62,False,Nordjylland,Movies
2019-02-24,65,False,Nordjylland,Movies
2019-03-03,69,False,Nordjylland,Movies
2019-03-10,47,False,Nordjylland,Movies
2019-03-17,70,False,Nordjylland,Movies
