,index,City,year,Region,slope,intercept,R2,R2_adj,mean,trending
145,145,Bramming,2017,Syddanmark,-0.14433855545120797,15.024971719457017,0.31338624621630184,0.29965397114062786,11.2,0
146,146,Bramming,2018,Syddanmark,0.263533573806881,5.13871606334842,0.462402419865114,0.4516504682624163,12.122355769230767,1
147,147,Bramming,2019,Syddanmark,0.05570170672834407,10.041256170300286,0.06881645282827575,0.05019278188484122,11.517351398601399,0
148,148,Bramming,2020,Syddanmark,0.1903456629386155,10.239573906485672,0.3692538347372052,0.35663891143194926,15.283733974358974,0
149,149,Bramming,2021,Syddanmark,0.18093949015776498,13.699187352245863,0.32251499672923456,0.3077870618755222,18.13220486111111,0
150,150,Brande,2017,Midtjylland,0.11192051566635378,6.05910633484163,0.3854140012606777,0.3731222812858912,9.025000000000002,0
151,151,Brande,2018,Midtjylland,0.20664958653998608,3.798202165481582,0.6050339431468208,0.5971346220097572,9.274416208791209,1
152,152,Brande,2019,Midtjylland,0.04697582522915507,10.64560537501714,0.1468008247938538,0.12973684128973084,11.890464743589744,0
153,153,Brande,2020,Midtjylland,0.16100853294873851,14.870495717517784,0.3054764722726272,0.2915860017180797,19.137221840659343,0
154,154,Brande,2021,Midtjylland,0.4661286003763204,13.71037012411347,0.7222171291460999,0.7161783710840586,25.130520833333332,1
155,155,Bredebro,2017,Syddanmark,,,,,,0
156,156,Bredebro,2018,Syddanmark,,,,,,0
157,157,Bredebro,2019,Syddanmark,,,,,,0
158,158,Bredebro,2020,Syddanmark,,,,,,0
159,159,Bredebro,2021,Syddanmark,,,,,,0
160,160,Bredsten,2017,Syddanmark,0.0,0.0,,,0.0,0
161,161,Bredsten,2018,Syddanmark,0.0,0.0,,,0.0,0
162,162,Bredsten,2019,Syddanmark,0.0,0.0,,,0.0,0
163,163,Bredsten,2020,Syddanmark,0.0,0.0,,,0.0,0
164,164,Bredsten,2021,Syddanmark,0.0,0.0,,,0.0,0
165,165,Broby,2017,Syddanmark,0.0,0.0,,,0.0,0
166,166,Broby,2018,Syddanmark,0.0,0.0,,,0.0,0
167,167,Broby,2019,Syddanmark,0.0,0.0,,,0.0,0
168,168,Broby,2020,Syddanmark,0.0,0.0,,,0.0,0
169,169,Broby,2021,Syddanmark,0.0,0.0,,,0.0,0
170,170,Bronderslev,2017,Nordjylland,-0.01840849910356005,7.181334841628961,0.010786022719469712,-0.00899825682614086,6.693509615384617,0
171,171,Bronderslev,2018,Nordjylland,0.2232017843421838,2.1894796380090527,0.5132420544542495,0.5035068955433345,8.104326923076922,1
172,172,Bronderslev,2019,Nordjylland,0.006762251344659954,12.284983031674207,0.0022859781985107297,-0.01766830223751903,12.464182692307693,0
173,173,Bronderslev,2020,Nordjylland,0.22152167107771997,12.37684451985923,0.5645483939223706,0.5558393618008179,18.247168803418802,1
174,174,Bronderslev,2021,Nordjylland,0.36145697640758384,18.03857491134751,0.8174255516112832,0.8134565418637023,26.894270833333334,1
175,175,Brovst,2017,Nordjylland,-0.15959564159480924,13.191544117647062,0.26691172052604506,0.252249954936566,8.962259615384616,0
176,176,Brovst,2018,Nordjylland,0.06245144284128727,5.557296380090503,0.09287233120751204,0.07472977783166224,7.212259615384614,0
177,177,Brovst,2019,Nordjylland,0.047044950055494056,8.48600113122172,0.11469555928516206,0.09698947047086526,9.732692307692307,0
